k,tau,lambda,gamma,training_rmse,testing_rmse,gap
3,0.04,0.06,0.30000000000000004,0.6767,0.9713,0.2946
3,0.04,0.08,0.30000000000000004,0.6801,1.0264,0.3463
3,0.01,0.02,0.4,0.6755,0.9960,0.3205
3,0.01,0.04,0.4,0.6818,0.9795,0.2977
3,0.01,0.06,0.4,0.6722,1.0014,0.3291
3,0.01,0.08,0.4,0.6713,1.0142,0.3429
3,0.02,0.02,0.4,0.6880,0.9893,0.3012
3,0.02,0.04,0.4,0.6918,0.9711,0.2792
3,0.02,0.06,0.4,0.6722,0.9741,0.3019
3,0.02,0.08,0.4,0.6788,1.0258,0.3470
3,0.03,0.02,0.4,0.6909,0.9830,0.2920
3,0.03,0.04,0.4,0.6760,0.9849,0.3089
3,0.03,0.06,0.4,0.6811,1.0116,0.3305
3,0.03,0.08,0.4,0.6671,0.9991,0.3319
3,0.04,0.02,0.4,0.7016,0.9723,0.2707
3,0.04,0.04,0.4,0.6824,0.9875,0.3051
3,0.04,0.06,0.4,0.6762,0.9499,0.2737
3,0.04,0.08,0.4,0.6725,0.9770,0.3045
